Sorting Algorithm, Size, Swaps, Comparisons, Time Taken
Bubble Sort, 1000, 254554, 499500, 0.005000
Bubble Sort, 2000, 1001456, 1999000, 0.021000
Bubble Sort, 3000, 2237298, 4498500, 0.045000
Bubble Sort, 4000, 3934058, 7998000, 0.096000
Bubble Sort, 5000, 6138975, 12497500, 0.170000
Bubble Sort, 6000, 8833508, 17997000, 0.191000
Bubble Sort, 7000, 11949020, 24496500, 0.211000
Bubble Sort, 8000, 15847752, 31996000, 0.254000
Bubble Sort, 9000, 20218657, 40495500, 0.281000
Bubble Sort, 10000, 25154469, 49995000, 0.309000
Selection Sort, 1000, 999, 499500, 0.001000
Selection Sort, 2000, 1999, 1999000, 0.005000
Selection Sort, 3000, 2999, 4498500, 0.010000
Selection Sort, 4000, 3999, 7998000, 0.018000
Selection Sort, 5000, 4999, 12497500, 0.028000
Selection Sort, 6000, 5999, 17997000, 0.041000
Selection Sort, 7000, 6999, 24496500, 0.055000
Selection Sort, 8000, 7999, 31996000, 0.072000
Selection Sort, 9000, 8999, 40495500, 0.091000
Selection Sort, 10000, 9999, 49995000, 0.108000
Insertion Sort, 1000, 255552, 254554, 0.001000
Insertion Sort, 2000, 1003454, 1001456, 0.003000
Insertion Sort, 3000, 2240294, 2237298, 0.006000
Insertion Sort, 4000, 3938052, 3934058, 0.012000
Insertion Sort, 5000, 6143969, 6138975, 0.018000
Insertion Sort, 6000, 8839502, 8833508, 0.027000
Insertion Sort, 7000, 11956014, 11949020, 0.037000
Insertion Sort, 8000, 15855746, 15847752, 0.047000
Insertion Sort, 9000, 20227651, 20218657, 0.061000
Insertion Sort, 10000, 25164463, 25154469, 0.074000
Count Sort, 1000, 6, 1998, 0.000000
Count Sort, 2000, 7, 3998, 0.000000
Count Sort, 3000, 9, 5998, 0.000000
Count Sort, 4000, 13, 7998, 0.000000
Count Sort, 5000, 13, 9998, 0.000000
Count Sort, 6000, 13, 11998, 0.000000
Count Sort, 7000, 13, 13998, 0.000000
Count Sort, 8000, 13, 15998, 0.000000
Count Sort, 9000, 13, 17998, 0.000000
Count Sort, 10000, 13, 19998, 0.000000
